大楼,学校,来源,户型,开始日期,结束日期,价格1,价格2
Miramar,Columbia University,推荐:国内同事推荐,2B2B,2026/4/10,2026/8/15,4800,2400
MiMA,NYU,Facebook/Baidu贴吧,2B2B,2026/4/10,2026/5/12,7850,7850
MiMA,Mannes School of Music,推荐:国内同事推荐,1B2B,2026/4/11,2026/5/9,6150,6150
Manhattan Park 40,工作/Fordham University,小红书/推荐:客户推荐,2B2B,2026/4/9,2026/4/15,4800,4800
Lyra NYC,Columbia University,老客户租房,Studio,2026/4/8,2026/5/23,4600,4600
Lyra NYC,NYU,小红书,Studio,2026/4/11,2026/5/18,3860,3860
Lyra NYC,Columbia University,推荐:非客户推荐/老客户租房,Studio,2026/4/6,2026/5/2,3850,3850
Journal Squared 3,NYU/Columbia University,推荐:国内同事推荐,2B2B,2026/4/8,2026/6/22,4825,4825
Journal Squared 3,工作/other,推荐:非客户推荐,1B1B,2026/4/8,2026/4/9,3205,4807.5
Journal Squared 3,NYU/New School,推荐:国内同事推荐,2B2B,2026/4/12,2026/5/13,4445,4445
Journal Squared 2,工作,推荐:客户推荐,2B2B,2026/4/12,2026/6/29,4475,2237.5
Jackson Park 3,NYU,推荐:非客户推荐,2B2B,2026/4/10,2026/8/30,5941,5040
Jackson Park 1,工作,推荐:非客户推荐,1B1B,2026/4/10,2026/5/15,4029.28,3626
Jackson Park 1,Columbia University,推荐:非客户推荐,Studio,2026/4/9,2026/4/23,3656,3000
Hayden,SVA,微信群（非熊民群）,1B1B,2026/4/10,2026/8/20,4310.35,4310.34
Eagle Lofts 2,工作,推荐:国内同事推荐,1B1B,2026/4/8,2026/4/20,5260,5260
Eagle Lofts 2,SVA,推荐:客户推荐,1B1B,2026/4/11,2026/5/1,5185,5185
DWTN,工作,老客户租房,Studio,2026/4/8,2026/4/23,3530,3530
Arrive University City,University of Pennsylvania,小红书,2B2B,2026/4/9,2026/8/15,3237,750
ANOVA uCity Square,University of Pennsylvania,小红书,2B2B,2026/4/7,2026/6/6,3447,1723.5
505 Summit Ave,NYU,老客户租房,2B2B,2026/4/8,2026/8/29,5345,4933.84
505 Summit Ave,Parsons,推荐:客户推荐,1B1B,2026/4/9,2026/8/1,3825,3825
505 Summit Ave,Parsons,推荐:客户推荐,1B1B,2026/4/8,2026/8/10,3580,3580
505 Summit Ave,NYU,推荐:非客户推荐,1B1B,2026/4/6,2026/8/28,3615,3276
505 Summit Ave,Parsons,推荐:国内同事推荐,Studio,2026/4/11,2026/8/24,3200,2953
505 Summit Ave,工作,推荐:非客户推荐,Studio,2026/4/11,2026/5/18,3025,2741
505 Summit Ave,NYU,推荐:非客户推荐,1B1B,2026/4/7,2026/5/20,3555,1500
5 Pointz LIC,NYU,推荐:客户推荐,1B1B,2026/4/11,2026/8/25,4662.25,4662.25
5 Pointz LIC,SVA,朋友圈广告,1B1B,2026/4/11,2026/7/28,3652,3104
5 Pointz LIC,other,推荐:国内同事推荐,2B2B,2026/4/9,2026/5/1,2690.31,2690.31
5 Pointz LIC,工作,推荐:小红书KOS,1B1B,2026/4/6,2026/5/5,4200,2100
5 Pointz LIC,NYU,老客户租房,1B1B,2026/4/11,2026/5/10,4000,2000
43 Cottage,FIT,推荐:非客户推荐,3B2B,2026/4/11,2026/9/1,5050,7575
43 Cottage,NYU,推荐:非客户推荐,1B1B,2026/4/8,2026/6/1,2750,4125
43 Cottage,other,推荐:国内同事推荐,Studio,2026/4/10,2026/6/15,2450,3675
43 Cottage,NYU,推荐:国内同事推荐,Studio,2026/4/8,2026/8/15,2450,3062.5
43 Cottage,NYU,推荐:客户推荐,Studio,2026/4/9,2026/9/1,2400,3000
43 Cottage,NYU,小红书,Studio,2026/4/10,2026/8/31,2525,2525
43 Cottage,NYU Tandon,推荐:客户推荐,Studio,2026/4/9,2026/9/1,2500,2500
43 Cottage,NYU,推荐:客户推荐,Studio,2026/4/10,2026/9/1,2450,2450
43 Cottage,other,推荐:非客户推荐,Studio,2026/4/6,2026/9/1,2400,2400
43 Cottage,NYU,推荐:客户推荐,Studio,2026/4/9,2026/9/1,2400,2400
43 Cottage,NYU,推荐:非客户推荐,Studio,2026/4/8,2026/8/15,2375,2375
43 Cottage,工作,老客户租房,Studio,2026/4/12,2026/5/1,2350,2350
42-62 Hunter St,NYU,推荐:客户推荐,2B2B,2026/4/11,2026/5/2,5000,5000
351 Marin,SVA,小红书,Studio,2026/4/8,2026/5/21,3230,1615
2-21 Malt Dr,NYU,推荐:客户推荐,Studio,2026/4/12,2026/5/2,4430,4430
2-21 Malt Dr,NYU,推荐:国内同事推荐,Studio,2026/4/11,2026/5/2,4290,4290
2-21 Malt Dr,工作,推荐:国内同事推荐,Studio,2026/4/10,2026/6/1,3870,3870
1440 Amsterdam Ave,Columbia University,推荐:国内同事推荐,2B2B,2026/4/9,2026/8/15,6455,6455
1440 Amsterdam Ave,Columbia University,推荐:国内同事推荐/推荐:客户推荐,2B2B,2026/4/10,2026/8/20,6765,6418
1440 Amsterdam Ave,Columbia University,推荐:客户推荐,2B2B,2026/4/10,2026/8/20,6250,6250
1440 Amsterdam Ave,Columbia University,推荐:非客户推荐/小红书,2B2B,2026/4/8,2026/8/20,5755,5755
1440 Amsterdam Ave,Columbia University,推荐:小红书KOS,2B1B,2026/4/8,2026/8/13,5043.5,5043.5
1440 Amsterdam Ave,Columbia University,小红书,1B1B,2026/4/10,2026/8/17,4415,4075.38
1440 Amsterdam Ave,Columbia University,推荐:小红书KOS,Studio,2026/4/11,2026/8/15,3800,3507
1440 Amsterdam Ave,Columbia University,推荐:客户推荐,2B1B,2026/4/11,2026/8/15,2455.75,2455.75
